SubVertical,total_funding
nan,8597207368.0
Bike Taxi,3900000000.0
Online Marketplace,2648700000.0
ECommerce Marketplace,1700000000.0
Mobile Wallet & ECommerce platform,1460000000.0
Mobile Wallet,1057000000.0
Private Equity Firm,600000000.0
Business development,585000000.0
Wearable Fitness Bands,450000000.0
App based cab aggregator,330000000.0
Robotics,300000000.0
Online Grocery & Food Store,300000000.0
Scooter sharing app,283000000.0
Diversified Financial,270000000.0
Cab Aggregator App,260000000.0
Online Lending Platform,255900000.0
Branded budget hotels marketplace,250000000.0
Branded Budget Hotels Aggregator,250000000.0
Online Eyewear Shopping Portal,231000000.0
Online Insurance Selling Platform,227700000.0
Fashion & Apparel,226000000.0
Logistics and Shipping,225000000.0
Virtual e-commerce platform,220000000.0
Online Grocery Shop,212000000.0
E-learning,206627820.0
Music Education,200000000.0
Food Ordering and Restaurant Discovery,200000000.0
Tech based investor firm,200000000.0
Horizontal Online Marketplace,200000000.0
Online Travel/Hotel Booking platform,180000000.0
Social Commerce,175000000.0
Mobile Messaging App,175000000.0
Logistics,166000000.0
Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products,157200000.0
Education,155972500.0
Cab Aggregation App,154500000.0
Online Food Delivery Platform,151500000.0
Business and customer engagement tools,150000000.0
Auto Classifieds Portal,145000000.0
VC Funds,140000000.0
Fresh Agriculture Produces,140000000.0
Recovery software,135000000.0
Health and fitness Platform,120000000.0
App based cab hailing services,117700000.0
Online Music Streaming,115000000.0
Digital Lending Platform,110200000.0
Online Food Delivery,104311200.0
Tech enabled Fulfilment & Logistics Solutions,100000000.0
Budget Rooms,100000000.0
"Online Portal for Diet,fitness and Beauty",100000000.0
Data Analytics Company,100000000.0
Non-Bank Lending Platform For SME,100000000.0
Online Ticketing Platform,100000000.0
Online Branded Budget Room Booking Service,100000000.0
Online Gaming Platform,100000000.0
Digital Payment Platform,90950000.0
FinTech,84000000.0
Event & Movie Ticketing platform,82000000.0
Cloud data protection and management solutions,80000000.0
Online food delivery platform,80000000.0
Online insurance policy aggregator,79200000.0
Online marketplace,78700000.0
Technology based Logistics platform,75000000.0
Educational Video Content Creator,75000000.0
Online Rummy playing Website,73700000.0
Online freight aggregator,70000000.0
Grocery Delivery,70000000.0
Automobile,70000000.0
Online Pharmacy,67000000.0
UPI Payments App,66000000.0
Budget Hotels Aggregator,62000000.0
Wealth Management,60000000.0
Industrial Tools and Equipments,60000000.0
B2B Marketplace,60000000.0
Eyewear & Accessories etailer,60000000.0
Off-grid solar products platform,60000000.0
Marketing Research Company,56000000.0
Loans and Services To Affordable Private Schools in India,55000000.0
SAAS Based HelpDesk Services,55000000.0
Automobile Classifieds Portal,55000000.0
Online Healthcare platform,55000000.0
Non-Banking Financial Company,53900000.0
Conversational AI,51000000.0
Real Estate,51000000.0
Electric Vehicle,51000000.0
Cloud Based Data Protection Solution,51000000.0
Satellite Communication,50000000.0
Beauty and Wellness Industry,50000000.0
Online Learning App,50000000.0
Real money based gaming startup,50000000.0
Home services marketplace,50000000.0
Integrated receivables software solutions,50000000.0
Browser Testing,50000000.0
Internet-based TV streaming service provider,50000000.0
Online Travel & Holiday Booking platform,50000000.0
Enterprise Contract Management Platform,50000000.0
Mobile & Digital Wallet,50000000.0
Online Used Car Marketplace,49700000.0
Digital Lending,47000000.0
Delivery Service,45000000.0
Online Insurance Startup,45000000.0
Virtual Reality gaming and entertainment platform,44000000.0
SME Lending,42000000.0
Home Healthcare Provider,40000000.0
Digital Wallet platform,40000000.0
Online Insurance Aggregator,38800000.0
Digital Wallet,38700000.0
Online Furniture Shopping Store,38400000.0
Speech Recognition,38080000.0
Last-mile retail transaction technology,38080000.0
Road Safety Analytics,37000000.0
"Organic,\xc2\xa0 Natural\xc2\xa0 Food substitute manufacturer",37000000.0
Online Lending,36440000.0
Medical Devices,36230000.0
App based cab aggregation Service,36000000.0
Electronic Payments Solution Company,35000000.0
Media Technology Solutions,35000000.0
Online/Mobile food ordering platform,35000000.0
Movie Ticket Booking platform,35000000.0
Assisted E-commerce Platform,35000000.0
Beauty e-tailer,35000000.0
Online Pharmacy Chain,35000000.0
Mobile Learning App,35000000.0
Budget Hotel Aggregator platform,34000000.0
Agritech,32000000.0
Equity Stock Exchange,32000000.0
AI-Based Energy Optimisation and Control Provider,32000000.0
Online Working Capital Business Loans Platform,32000000.0
Furniture eTailer,31300000.0
Point-of-Sale services,31000000.0
SME Funding,31000000.0
