year,Investors_Name,total_investment
2015,Steadview Capital and existing investors,700000000.0
2015,"Alibaba Group, Ant Financial",680000000.0
2015,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",500000000.0
2015,"Alibaba, Foxconn, Softbank",500000000.0
2015,"DST Global, Steadview Capital, Tiger Global, Accel Partners & Others",400000000.0
2015,"Falcon Edge Capital, NY based Hedge Fund, Tiger Global, Softbank",225000000.0
2015,Sequoia Capital,150600000.0
2015,"Tiger Global, Investment AB Kinnevik, Steadview Capital",150000000.0
2015,Warburg Pincus,137000000.0
2015,TA Associates,125000000.0
2015,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",120000000.0
2015,Rocket Internet AG & others,110000000.0
2015,"Goldman Sachs, Rocket Internet",100000000.0
2015,"SoftBank Group, Greenoaks Capital, Sequoia Capital,\xc2\xa0 Lightspeed India",100000000.0
2015,Tennenbaum Capital Partners & Others,100000000.0
2015,"Softbank, Sequoia Capital",100000000.0
2015,Tiger Global & Other investors,100000000.0
2015,"Goldman Sachs, Zodius Technology Fund, Bertelsmann India Investments Norwest Venture Partners.",100000000.0
2015,"Tiger Global Management, Bertelsmann India, Steadview Capital, Liberty Media, Mousse Partners, Quilvest",100000000.0
2015,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",90000000.0
2015,"Tiger Global Management, Multiples Alternate Asset Management, Nexus Venture Partners, Times Internet",85000000.0
2015,"Valiant Capital, Tybourne Capital, Sequoia Capital, RuNet and Sofina",80000000.0
2015,"Khazanah Nasional Berhad, Helion Venture Partners",75000000.0
2015,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",70000000.0
2015,Tiger Global,64500000.0
2015,ChrysCapital,63000000.0
2015,"Temasek, Norwest Venture Partners",60000000.0
2015,"Amazon, Fidelity Growth Partners, Mousse Partners",60000000.0
2015,"Temasek, Vy Capital",60000000.0
2015,"AB Kinnevik, Falcon Edge Capital, Coatue Management",60000000.0
2015,"Goldman Sachs, Zodius Capital",56000000.0
2015,Bessemer Venture Partners,52200000.0
2015,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",52000000.0
2015,"Hillhouse Capital, Tybourne Capital",50000000.0
2015,Morgan Stanley,50000000.0
2015,"Tiger Global, Google Capital & Accel Partners",50000000.0
2015,Value Fund Advisors,50000000.0
2015,"Paytm, SAIF Partners,\xc2\xa0 Tiger Global Management & others",50000000.0
2015,"Sequoia Capital, TR Capital, Steadview Capital, SAIF Partners, Kalaari Capital",50000000.0
2015,"OrbiMed, Pradip Dadha Group",50000000.0
2015,"Warburg Pincus, Sequoia Capital, Norwest Venture Partners",45000000.0
2015,"WestBridge Capital, Omidyar Network, Elevar Equity, Saama Capital,\xc2\xa0 Lok Capital",40000000.0
2015,"PremjiInvest, Tiger Global, Ribbit Capital",40000000.0
2015,"Future Fund,Bessemer Venture, Capricorn Investment and IFC",40000000.0
2015,"Falcon Edge Capital, Matrix Partners India, Sequoia Capital India and Omidyar Network",40000000.0
2015,"Zodius Technology Fund, Khazanah Nasional Berhad",40000000.0
2015,"Accel Partners, International Finance Corporation (IFC), Qualcomm Ventures, Ventureast",37500000.0
2015,"Sequoia Capital, Matrix Partners",37500000.0
2015,"Sequoia India, SAIF Partners.",36000000.0
2015,Carrick Capital Partners,35000000.0
2015,"Tiger Global, Sequoia Capital",35000000.0
2015,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",34000000.0
2015,Tiger Global Management,31000000.0
2015,Didi Kuaidi,30000000.0
2015,"Tiger Global, Matrix Partners, Lightspeed Venture Partners",30000000.0
2015,"Sofina, Hillhouse Capital",30000000.0
2015,"Helion Venture Partners,Amarpreet Sawhney, Deshpande Foundation, Fred Khosravi, Richard S. Braddock",30000000.0
2015,SAIF Partners and others,30000000.0
2015,"ru-Net, Sequoia Capital,\xc2\xa0 Lightbox Ventures",30000000.0
2015,India Value Fund Advisors,30000000.0
2015,"Tiger Global Management, Orios Venture Partners",30000000.0
2015,GIC ventures,28000000.0
2015,IFC Everstone Group,27000000.0
2015,Valiant Capital Partners,26000000.0
2015,"Bessemer Venture Partner, Accel, SAIF Partners",25000000.0
2015,"Accion, LeapFrog Investments, Lok Capital",25000000.0
2015,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",25000000.0
2015,"Tree Line Asia, Cisco Investments, American Express, Sequoia Capital",25000000.0
2015,"Greenoaks capital, Sequoia Capital, LightSpeed Ventures",25000000.0
2015,Info Edge (India),25000000.0
2015,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",25000000.0
2015,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",25000000.0
2015,"Falcon Edge Capital, Meru Capital, Ola, Matrix Partners, DSG Consumer Partners, Axis Bank",25000000.0
2015,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",22500000.0
2015,Mitsui & Co & existing investors,21500000.0
2015,AskMe,20000000.0
2015,"Nexus Venture Partners, Matrix Partners",20000000.0
2015,"Tiger Global,\xc2\xa0 Nirvana Ventures Advisors",20000000.0
2015,Snapdeal,20000000.0
2015,Paytm,20000000.0
2015,Lightbox Ventures,20000000.0
2015,"Sequoia Capital, Times Internet Ltd & One more Fund",20000000.0
2015,Zodius Technology Fund,20000000.0
2015,CerraCap,20000000.0
2015,MakeMyTrip,20000000.0
2015,Eight Roads Ventures,19000000.0
2015,Nexus Venture Partners,18500000.0
2015,"Sequoia Capital, Nexus venture Partners, Lightspeed Ventures, GFC",18000000.0
2015,"Tiger Global, Times Internet, Zodius Capital",18000000.0
2015,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",16600000.0
2015,Ashok Goel (promoter),16500000.0
2015,"Norwest Venture Partners, SAIF Partners, Accel Partners",16500000.0
2015,"Matrix Partners, Sequoia Capital, Nexus Venture Partners",16000000.0
2015,"Trinity Ventures, InterWest Partners, Mohr Davidow Ventures, Presidio Ventures",16000000.0
2015,"Zodius Capital, Ru-Net, Kalaari Capital,\xc2\xa0 Qualcomm Ventures",16000000.0
2015,"Lightbox Ventures, Beenos",16000000.0
2015,"Accel Partners, Helion Venture Partners",15500000.0
2015,"Mayfield Ventures, Kalaari Capital, Helion Ventures",15000000.0
2015,Times Internet,15000000.0
2015,"Tiger Global, Orios Venture Partners.",15000000.0
2015,"IDG Ventures, Sequoia Capital",15000000.0
2015,Norwest Venture Partners,15000000.0
2015,"Maverick Capital, IDG Ventures India",15000000.0
2015,Peepul Capital,15000000.0
2015,Chandralekha Construction Pvt. Ltd.,15000000.0
2015,"Nokia Growth Partners, Nexus Venture Partners, Avalon Ventures",15000000.0
2015,Valiant Capital,15000000.0
2015,Eight Road Ventures,15000000.0
2015,Fidelity Growth Partners,15000000.0
2015,"Tiger Global, Sequoia Capital.",15000000.0
2015,"Mayfield India, Kalaari Capital, Helion Ventures",14750000.0
2015,SAIF Partners,14000000.0
2015,Accel Partners,13500000.0
2015,"IFC, Axon Partners, Intel Capital",13500000.0
2015,"New Enterprise Associates, Cheetah Mobile",13400000.0
2015,"JS Capital, Helion Venture Partners, Capricorn Investment Group",13000000.0
2015,"SAIF Partners, Sequoia Capital, Aspada",13000000.0
2015,"Flipkart, Tiger Global",12750000.0
2015,New Enterprise Associates,12500000.0
2015,Kalaari Capital,12200000.0
2015,"Accel US, Accel India, SAIF Partners.",12000000.0
2015,"Ascent Capital, Kalaari Capital",12000000.0
2015,Undisclosed,11940000.0
2015,"Sequoia Capital, Nexus Venture Partners, Blume Ventures",11000000.0
2015,"Sunrise Capital GmBH, Big Data Investments B.V",11000000.0
2015,"Sequoia Capital, Empire Angels, NGP",11000000.0
2015,Eduardo Saverin & Velos Capital,11000000.0
2015,"Faering Capital, Foundation Capital, Inventus Capital Partners",11000000.0
2015,"Tiger Global Management, Ratan Tata, Nexus Venture Partners",10200000.0
2015,"Dragoneer Investment, Accel Partners, Qualcomm Ventures, Times Internet",10000000.0
2015,"Sequoia Capital, Nexus Venture Partners",10000000.0
2015,"SAIF Partners, Sequoia Capital",10000000.0
2015,"Tiger Global Management, Sequoia Capital India",10000000.0
2015,"Qualcomm Venture, Norwest Venture Partners",10000000.0
2015,CLSA Capital Partners ARIA IV Funds,10000000.0
2015,SRI Capital,10000000.0
2015,SAIF partners,10000000.0
2015,"Silicon Valley Ventures, NEA Ventures, Valiant Capital, IDG Ventures India,\xc2\xa0 SAIF Partners, Vertex Ventures",10000000.0
2015,Tano Capital,10000000.0
2015,Gaja Capital Private Equity Fund,10000000.0
2015,Sequoia and Kalaari Capital.,10000000.0
2015,TO THE NEW Ventures,10000000.0
2015,"Saama Capital, Mayfield, Ashvin Chadha, Shailesh Mehta",10000000.0
2015,"Fidelity Growth Partners India, SAIF Partners,\xc2\xa0 Helion Ventures",10000000.0
2015,"Fidelity Growth Partners, Fidelity Biosciences",10000000.0
2015,SEEK Ltd & affiliates,10000000.0
2015,"Sachin Bansal, Bunny Bansal & other investors",10000000.0
2015,"SAIF Partners,\xc2\xa0 Accel Partners",10000000.0
2015,"Sequoia Capital, Accel Partners",9600000.0
2015,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",9500000.0
2015,"Kalaari Capital, SAIF Partners, Beenextan investment fund",9200000.0
2015,"Tiger Global Management, Matrix Partners",9000000.0
2015,"Flipkart, Accel Partners, Delhivery, Foxconn",9000000.0
2015,"Development finance institution Belgian Investment Company, Oikocredit",8600000.0
2015,Agnus Capital,8500000.0
2015,"LGT Group, Asian Healthcare fund, Seedfund",8200000.0
2015,Undisclosed Investors,8012000.0
2015,"Bessemer Venture Partners, SAIF Partners",8000000.0
2015,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",8000000.0
2015,SF Capital Group,8000000.0
2015,IDG Ventures,7750000.0
2015,"Tiger Global Management, Flipkart",7700000.0
2015,HR Technology fund,7500000.0
2015,"Sequoia Capital, Lightspeed Ventures",7500000.0
2015,Jitu Virwani,7500000.0
2015,"Delhivery, Sands Capital and Accel Partners",7000000.0
2015,"Sequoia Capital, Tree Line Asia, Innoven Capital",6600000.0
2015,LightBox Ventures,6000000.0
